0.525420762956249 edges=14 [] 
0.535971368650577 edges=13 [Project] 
0.765081318000844 edges=10 [Project] 
0.453957145714373 edges=7 [Project] 
0.222965933466997 edges=5 [Project] 
0.222965933466997 edges=5 [Project] 
0.222965933466997 edges=5 [Project] 
-2.22044604925031E-16 edges=4 [Project] 
-2.22044604925031E-16 edges=4 [Project] 
-2.22044604925031E-16 edges=4 [Project] 
-2.22044604925031E-16 edges=4 [Project] 
-2.22044604925031E-16 edges=4 [Project] 
-2.22044604925031E-16 edges=4 [Project] 
